pollster,start_date,end_date,TS-LKD,LVZS,LSDP,DP,TT/LT,LRLS,LLRA-KSS,CP/TTS,LP,LCS/LLS,LSDDP/LRP,LZP,LS,DK,VL,NA.,NS,none,sample_size
Spinter,2007-12-10,2007-12-20,0.133,0.057,0.122,0.107,0.138,0.026,,,0,0.054,0,,,,0,0,0,,1000
Spinter,2008-01-08,2008-01-15,0.145,0.061,0.125,0.093,0.115,0.023,,,0,0.054,0,,,,0,0,0,0.286,1003
Vilmorus,2008-02-10,2008-02-20,0.13,0.068,0.11,0.082,0.166,,0.006,,0,0.033,0,,,,0,0,0,0.273,1000
Vilmorus,2008-03-10,2008-03-20,0.15,0.064,0.08,0.09,0.173,,0.016,,0,0.035,0,,,,0,0,0,0.277,1000
Baltijos tyrimai,2008-03-20,2008-04-10,0.133,0.045,0.142,0.057,0.093,0.042,0.017,,0,0.039,0,,,,0,0,0,0.28,1000
RAIT,2008-04-04,2008-04-10,0.065,,0.059,0.097,0.069,,,,0,,0,,,,0,0,0,0.28,1040
Vilmorus,2008-04-10,2008-04-20,0.114,0.067,0.119,0.087,0.152,,,,0,,0,,,,0,0,0,,1000
Baltijos tyrimai,2008-04-25,2008-05-08,0.122,0.05,0.133,0.066,0.103,0.042,0.02,,0,0.033,0,,,,0,0,0,0.285,1000
Vilmorus,2008-05-15,2008-05-18,0.121,0.058,0.086,0.1,0.145,0.043,0.009,,0,0.032,0,,,,0,0,0,0.335,1000
Vilmorus,2008-06-01,2008-06-10,0.151,0.056,0.097,0.102,0.132,,,,0,,0,,,,0,0,0,,1000
Baltijos tyrimai,2008-06-27,2008-07-09,0.151,0.044,0.11,0.08,0.105,0.03,0.018,,0,0.052,0,,,,0,0,0,0.226,1000
Vilmorus,2008-07-10,2008-07-13,0.147,0.064,0.101,0.115,0.138,,,,0,,0,,,,0,0,0,,1000
Baltijos tyrimai,2008-08-13,2008-08-21,0.122,0.049,0.124,0.087,0.095,0.022,0.015,,0,0.05,0,,,,0,0,0,0.237,1000
Vilmorus,2008-09-20,2008-09-30,0.124,0.048,0.072,0.087,0.114,0.023,,,0,0.031,0,,,,0,0,0,,1000
Baltijos tyrimai,2008-09-19,2008-09-25,0.13,0.04,0.11,0.1,0.1,0.03,0.02,,0,0.05,0,,,,0,0,0,0.22,1000
VRK,2008-10-12,2008-10-12,0.0904357792210201,0.0171218319863209,0.0537407875849842,0.0412259976484465,0.0581497650300991,0.0262832472209756,0.0219714475406978,0.00321539711211421,0,0.0245088257439477,0,,,,0,0,0,0.514124157576342,2696090
Spinter,2011-08-10,2011-08-18,0.094,0.03,0.142,0.094,0.097,0.046,,,0,0.022,0,,,,0,0,0,0.452,1005
Spinter,2011-09-23,2011-09-30,0.072,0.021,0.145,0.102,0.088,0.047,,,0,0.046,0,,,,0,0,0,0.44,1000
Vilmorus,2011-10-07,2011-10-17,0.099,0.038,0.159,0.133,0.097,0.042,,,0,,0,,,,0,0,0,,1000
Spinter,2011-10-20,2011-10-30,0.07,0.03,0.17,0.102,0.094,0.03,,,0,0.026,0,,,,0,0,0,0.437,1000
Vilmorus,2011-11-11,2011-11-20,0.093,0.028,0.142,0.12,0.083,0.05,,,0,,0,,,,0,0,0,,1000
Spinter,2011-11-20,2011-11-30,0.079,0.03,0.159,0.101,0.09,0.04,,,0,0.019,0,,,,0,0,0,,1000
Vilmorus,2011-12-02,2011-12-13,0.072,0.029,0.158,0.116,0.092,0.044,,,0,,0,,,,0,0,0,,1000
Baltijos tyrimai,2011-12-20,2011-12-30,0.051,0.03,0.183,0.193,0.077,0.067,,,0,0.055,0,,,,0,0,0,0.23,1000
Spinter,2011-12-20,2011-12-30,0.061,0.021,0.161,0.125,0.09,0.042,,,0,0.025,0,,,,0,0,0,,1000
Vilmorus,2012-01-12,2012-01-24,0.09,0.024,0.161,0.136,,0.044,,,0,0.021,0,,,,0,0,0,0.316,1000
Baltijos tyrimai,2012-01-19,2012-01-27,0.071,,0.204,0.179,0.093,0.051,,,0,0.033,0,,,,0,0,0,,1004
Spinter,2012-01-21,2012-01-31,0.085,0.025,0.152,0.13,0.095,0.05,,,0,0.021,0,,,,0,0,0,,1000
